Epoch 0 | Train Loss 0.2919 | Val Loss 0.2533 | BLEU-4 0.1259
Epoch 1 | Train Loss 0.2548 | Val Loss 0.2424 | BLEU-4 0.1374
Epoch 2 | Train Loss 0.2460 | Val Loss 0.2375 | BLEU-4 0.1440
Epoch 3 | Train Loss 0.2409 | Val Loss 0.2350 | BLEU-4 0.1445
Epoch 4 | Train Loss 0.2374 | Val Loss 0.2333 | BLEU-4 0.1503
Epoch 5 | Train Loss 0.2347 | Val Loss 0.2322 | BLEU-4 0.1519
Epoch 6 | Train Loss 0.2325 | Val Loss 0.2313 | BLEU-4 0.1522
Epoch 7 | Train Loss 0.2307 | Val Loss 0.2309 | BLEU-4 0.1537
Epoch 8 | Train Loss 0.2291 | Val Loss 0.2304 | BLEU-4 0.1557
Epoch 9 | Train Loss 0.2277 | Val Loss 0.2304 | BLEU-4 0.1562
Epoch 10 | Train Loss 0.2265 | Val Loss 0.2303 | BLEU-4 0.1556
Epoch 11 | Train Loss 0.2254 | Val Loss 0.2302 | BLEU-4 0.1563
Epoch 12 | Train Loss 0.2243 | Val Loss 0.2300 | BLEU-4 0.1573
Epoch 13 | Train Loss 0.2234 | Val Loss 0.2303 | BLEU-4 0.1570
Epoch 14 | Train Loss 0.2225 | Val Loss 0.2301 | BLEU-4 0.1571
Epoch 15 | Train Loss 0.2216 | Val Loss 0.2302 | BLEU-4 0.1580
Epoch 16 | Train Loss 0.2209 | Val Loss 0.2304 | BLEU-4 0.1602
Epoch 17 | Train Loss 0.2201 | Val Loss 0.2304 | BLEU-4 0.1580
Epoch 18 | Train Loss 0.2195 | Val Loss 0.2310 | BLEU-4 0.1587
Epoch 19 | Train Loss 0.2189 | Val Loss 0.2307 | BLEU-4 0.1590
Epoch 20 | Train Loss 0.2183 | Val Loss 0.2309 | BLEU-4 0.1587
Epoch 21 | Train Loss 0.2177 | Val Loss 0.2312 | BLEU-4 0.1582
Epoch 22 | Train Loss 0.2232 | Val Loss 0.2298 | BLEU-4 0.1622
Epoch 23 | Train Loss 0.2221 | Val Loss 0.2280 | BLEU-4 0.1693
Epoch 24 | Train Loss 0.2202 | Val Loss 0.2264 | BLEU-4 0.1725
Epoch 25 | Train Loss 0.2183 | Val Loss 0.2253 | BLEU-4 0.1749
Epoch 26 | Train Loss 0.2164 | Val Loss 0.2257 | BLEU-4 0.1749
Epoch 27 | Train Loss 0.2145 | Val Loss 0.2251 | BLEU-4 0.1774
Epoch 28 | Train Loss 0.2128 | Val Loss 0.2247 | BLEU-4 0.1757
Epoch 29 | Train Loss 0.2113 | Val Loss 0.2244 | BLEU-4 0.1794
Epoch 30 | Train Loss 0.2098 | Val Loss 0.2253 | BLEU-4 0.1776
Epoch 31 | Train Loss 0.2084 | Val Loss 0.2256 | BLEU-4 0.1759
Epoch 32 | Train Loss 0.2071 | Val Loss 0.2257 | BLEU-4 0.1769
Epoch 33 | Train Loss 0.2058 | Val Loss 0.2260 | BLEU-4 0.1791
Epoch 34 | Train Loss 0.2047 | Val Loss 0.2265 | BLEU-4 0.1748
Epoch 35 | Train Loss 0.2035 | Val Loss 0.2274 | BLEU-4 0.1751
Epoch 36 | Train Loss 0.2023 | Val Loss 0.2283 | BLEU-4 0.1762
Epoch 37 | Train Loss 0.2014 | Val Loss 0.2275 | BLEU-4 0.1760
Epoch 38 | Train Loss 0.2004 | Val Loss 0.2274 | BLEU-4 0.1760
Epoch 39 | Train Loss 0.1994 | Val Loss 0.2274 | BLEU-4 0.1777
Epoch 40 | Train Loss 0.1984 | Val Loss 0.2295 | BLEU-4 0.1767
Epoch 41 | Train Loss 0.1975 | Val Loss 0.2296 | BLEU-4 0.1749
Epoch 42 | Train Loss 0.1966 | Val Loss 0.2292 | BLEU-4 0.1770
Epoch 43 | Train Loss 0.1958 | Val Loss 0.2296 | BLEU-4 0.1754
Epoch 44 | Train Loss 0.1948 | Val Loss 0.2303 | BLEU-4 0.1760
Epoch 45 | Train Loss 0.1941 | Val Loss 0.2312 | BLEU-4 0.1756
Epoch 46 | Train Loss 0.1934 | Val Loss 0.2303 | BLEU-4 0.1763
Epoch 47 | Train Loss 0.1927 | Val Loss 0.2310 | BLEU-4 0.1766
Epoch 48 | Train Loss 0.1919 | Val Loss 0.2316 | BLEU-4 0.1745
Epoch 49 | Train Loss 0.1914 | Val Loss 0.2318 | BLEU-4 0.1755
Epoch 50 | Train Loss 0.1907 | Val Loss 0.2330 | BLEU-4 0.1757
Epoch 51 | Train Loss 0.1899 | Val Loss 0.2336 | BLEU-4 0.1741
Epoch 52 | Train Loss 0.1893 | Val Loss 0.2328 | BLEU-4 0.1734
Epoch 53 | Train Loss 0.2058 | Val Loss 0.2230 | BLEU-4 0.1864
Epoch 54 | Train Loss 0.2037 | Val Loss 0.2236 | BLEU-4 0.1845
Epoch 55 | Train Loss 0.2023 | Val Loss 0.2239 | BLEU-4 0.1867
Epoch 56 | Train Loss 0.2010 | Val Loss 0.2233 | BLEU-4 0.1861
Epoch 57 | Train Loss 0.1999 | Val Loss 0.2246 | BLEU-4 0.1870
Epoch 58 | Train Loss 0.1991 | Val Loss 0.2252 | BLEU-4 0.1866
Epoch 59 | Train Loss 0.1983 | Val Loss 0.2244 | BLEU-4 0.1878
Epoch 60 | Train Loss 0.1975 | Val Loss 0.2251 | BLEU-4 0.1877
Epoch 61 | Train Loss 0.1969 | Val Loss 0.2246 | BLEU-4 0.1880
Epoch 62 | Train Loss 0.1962 | Val Loss 0.2251 | BLEU-4 0.1870
Epoch 63 | Train Loss 0.1955 | Val Loss 0.2252 | BLEU-4 0.1859
Epoch 64 | Train Loss 0.1949 | Val Loss 0.2258 | BLEU-4 0.1875
Epoch 65 | Train Loss 0.1941 | Val Loss 0.2260 | BLEU-4 0.1883
Epoch 66 | Train Loss 0.1935 | Val Loss 0.2260 | BLEU-4 0.1867
Epoch 67 | Train Loss 0.1929 | Val Loss 0.2261 | BLEU-4 0.1869
Epoch 68 | Train Loss 0.1924 | Val Loss 0.2268 | BLEU-4 0.1867
Epoch 69 | Train Loss 0.1919 | Val Loss 0.2265 | BLEU-4 0.1875
Epoch 70 | Train Loss 0.1913 | Val Loss 0.2266 | BLEU-4 0.1879
Epoch 71 | Train Loss -0.7701 | Val Loss 0.2424 | BLEU-4 0.1884
Epoch 72 | Train Loss -0.6750 | Val Loss 0.2584 | BLEU-4 0.1865
Epoch 73 | Train Loss -0.6281 | Val Loss 0.2709 | BLEU-4 0.1869
Epoch 74 | Train Loss -0.5889 | Val Loss 0.2760 | BLEU-4 0.1867
Epoch 75 | Train Loss -0.5749 | Val Loss 0.2817 | BLEU-4 0.1864
Epoch 76 | Train Loss -0.5475 | Val Loss 0.2874 | BLEU-4 0.1859
